id,name,description,category,author,github_url,npm_package,official,features
alpaca,Alpaca,Trade stocks and options analyze market data,finance,alpacahq,https://github.com/alpacahq/alpaca-mcp-server,,true,"trading,stocks,market-data"
youtube-transcript,YouTube Transcript,Fetch YouTube subtitles and transcripts,media,kimtaeyoon83,https://github.com/kimtaeyoon83/mcp-server-youtube-transcript,,false,"youtube,transcripts,subtitles"
blender,Blender,MCP server for working with Blender 3D,creative,ahujasid,https://github.com/ahujasid/blender-mcp,,false,"3d-modeling,blender,rendering"
davinci-resolve,DaVinci Resolve,Video editing color grading and media management,creative,samuelgursky,https://github.com/samuelgursky/davinci-resolve-mcp,,false,"video-editing,color-grading,media"
reaper,REAPER,Control REAPER DAW for music production,creative,twelvetake-studios,https://github.com/TwelveTake-Studios/reaper-mcp,,false,"music-production,daw,midi"
notion,Notion,Notion API integration for pages and databases,productivity,notion,https://github.com/makenotion/notion-mcp-server,,true,"notion,pages,databases"
linear,Linear,Linear issue tracking and project management,productivity,linear,https://github.com/jerhadf/linear-mcp-server,,false,"issues,projects,agile"
todoist,Todoist,Task management with Todoist API,productivity,abhiz123,https://github.com/abhiz123/todoist-mcp-server,,false,"tasks,productivity,todo"
discord,Discord,Discord bot and messaging capabilities,communication,v3xlabs,https://github.com/v3xlabs/discord-mcp,,false,"discord,messaging,bots"
twitter,Twitter/X,Post and interact with Twitter/X,social,EnesCinr,https://github.com/EnesCinr/twitter-mcp,,false,"twitter,social-media,posting"
stripe,Stripe,Stripe payment and billing integration,finance,stripe,https://github.com/stripe/agent-toolkit,,true,"payments,billing,subscriptions"
aws-kb-retrieval,AWS KB Retrieval,Retrieval from AWS Knowledge Base using Bedrock,cloud,modelcontextprotocol,https://github.com/modelcontextprotocol/servers-archived/tree/main/src/aws-kb-retrieval-server,,true,"aws,bedrock,knowledge-base"
docker,Docker,Docker container management,devops,ckreiling,https://github.com/ckreiling/mcp-server-docker,,false,"docker,containers,devops"
kubernetes,Kubernetes,Kubernetes cluster management,devops,strowk,https://github.com/strowk/mcp-k8s-go,,false,"kubernetes,k8s,devops"
supabase,Supabase,Supabase database and auth integration,database,supabase,https://github.com/supabase-community/supabase-mcp,,false,"supabase,postgres,auth"
neo4j,Neo4j,Neo4j graph database integration,database,neo4j,https://github.com/neo4j-contrib/mcp-neo4j,,false,"neo4j,graph-database,cypher"
qdrant,Qdrant,Vector database for similarity search,database,qdrant,https://github.com/qdrant/mcp-server-qdrant,,true,"vector-db,similarity-search,embeddings"
pinecone,Pinecone,Vector database operations,database,pinecone,https://github.com/pinecone-io/pinecone-mcp,,true,"vector-db,embeddings,search"
weaviate,Weaviate,Vector search and knowledge graphs,database,weaviate,https://github.com/weaviate/mcp-server-weaviate,,true,"vector-db,knowledge-graph,search"
